dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
real,Q24,24,9.17436e-12,110.374,41.1,40.8,0.242997,0.095119
real,Q24_K_L,24,9.17436e-12,110.374,41.2,40.8,0.24103,0.21157
real,Q24_K_M,24,9.17436e-12,110.374,76,77.3,0.998332,0.298408
real,Q24_K_H,24,9.17436e-12,110.374,41.2,41.4,10.0477,12.5333
real,QG16,16.5,3.43145e-11,104.645,2905.5,88.7,183.824,40.9763
real,Q16.5,16.5,3.53952e-11,104.511,2734.7,68.9,335.481,38.0588
real,QG_16.5,16.5,3.53952e-11,104.511,2664.9,71.7,73.1025,30.591
real,Q_MX_16.5,16.5,4.2302e-06,53.7364,5654.2,792.3,473.212,197.808
real,QG_MX_16.5,16.5,1.11833e-05,49.5143,4954,754.8,1053.72,61.2064
real,Q16,16,3.53952e-11,104.511,2765.4,72.5,254.156,28.4881
real,QG_16_K_H,16,3.53952e-11,104.511,2674.9,69,23.6264,2.34835
real,QG_16_K_M,16,3.53952e-11,104.511,2687.6,69.1,59.5604,27.956
real,QG_16_K_L,16,3.53952e-11,104.511,2890.6,71.5,381.184,22.0926
real,Q16_K_L,16,3.53952e-11,104.511,2668.9,69.1,286.658,32.3795
real,Q16_K_M,16,3.53952e-11,104.511,2665.3,71.5,300.077,26.9793
real,Q16_K_H,16,3.53952e-11,104.511,2639.9,67.8,14.5206,8.22557
real,[ref] IEEE FP16,16,2.35399e-09,86.2819,131.5,131.5,0,0
real,QG_MX_12.5,12.5,7.01322e-07,61.5408,5246.7,717.1,552.247,144.739
real,QG12,12.5,3.88538e-06,54.1057,12386.8,297.2,529.765,14.1819
real,Q12.5,12.5,1.34102e-05,48.7256,12604.9,296.1,514.917,102.796
real,QG_12_K_H,12.5,1.34102e-05,48.7256,13015.9,305.2,462.61,135.591
real,QG_12_K_M,12.5,1.34102e-05,48.7256,12607.3,329.3,836.319,100.027
real,QG_12_K_L,12.5,1.34102e-05,48.7256,12054.5,299,851.254,57.5889
real,QG_12.5,12.5,1.34102e-05,48.7256,13002.1,296.8,570.354,118.421
real,Q_MX_12.5,12.5,1.57855e-05,48.0174,5190.9,720.9,562.219,229.39
real,Q12,12,1.48464e-05,48.2838,10035.7,322.9,480.35,27.9561
real,Q12_K_L,12,1.48464e-05,48.2838,11008.7,325.2,503.601,128.698
real,Q12_K_M,12,1.48464e-05,48.2838,9731.5,321.5,1105,136.969
real,Q12_K_H,12,1.48464e-05,48.2838,10358.9,322.8,690.025,105.843
real,QG_8.5,8.5,9.1857e-07,60.3689,26021.6,164.6,1462.9,44.4243
real,Q8.5,8.5,9.1857e-07,60.3689,26448,125.2,1882.97,49.8978
real,QG8,8.5,9.1857e-07,60.3689,29786.3,140.2,554.915,33.168
real,[ref] GGUF Q8_0,8.5,1.05953e-06,59.7489,206.8,206.8,0,0
real,QG_8_K_L,8.5,4.36492e-06,53.6002,27818.7,134.1,727.151,33.8114
real,QG_8_K_H,8.5,4.36492e-06,53.6002,25543.9,126,1046.28,36.7706
real,QG_8_K_M,8.5,4.36492e-06,53.6002,27858,130,2429.77,13.1382
real,QG_MX_8.5,8.5,0.000218272,36.61,8847.7,680.1,1113.22,44.6626
real,Q_MX_8.5,8.5,0.000241263,36.1751,5444.7,700.5,352.664,190.471
real,[ref] INT8 uniform,8.125,1.33547e-06,58.7437,178.7,178.7,0,0
